X,Y,OBJECTID,SITE_CODE,SAMPLE_ID,LOCATION,ADDR_QUAL,CITY_CODE,DEPLOYMENT_TIME_DAYS,AVERAGE_TEMP_C,SAMPLING_RATE,UNIT,POLLUTANT_NAME,CONCENTRATION,LOD_MDL_EXCEEDENCE,MDL_LOD_MIN_DETECTABLE_CON,START_TIME,END_TIME,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
583986.3614,4790298.4991,1,901,901,GOVERNOR'S ROAD,SS 1-E TALLY-HO,HUC,63,21.31553,4,Cair (ng/m3),Benzo[a]pyrene,0.03585282,0,0.04757918,2022/07/18 14:46:21+00,2022/09/19 15:19:00+00,2022/07/18 04:00:00+00,2022/09/19 04:00:00+00,-79.96521402,43.26081673,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
590841.9524,4789402.7287,2,902,902,CHARLTON AVENUE WEST,NS 2-W HESS,HUC,61,21.23005,4,Cair (ng/m3),Benzo[a]pyrene,0.08737524,1,0.04757918,2022/07/19 20:12:00+00,2022/09/19 16:10:00+00,2022/07/19 04:00:00+00,2022/09/19 04:00:00+00,-79.88091002,43.25195694,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
589585.2528,4790511.0899,3,903,903,KING STREET WEST,NS 2-E MACKLIN,HUC,61,21.12774,4,Cair (ng/m3),Benzo[a]pyrene,0.06107392,1,0.04757918,2022/07/20 15:49:00+00,2022/09/19 15:53:00+00,2022/07/20 04:00:00+00,2022/09/19 04:00:00+00,-79.89620833,43.26208592,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
592246.3125,4791045.4993,4,904,904,HUGHSON STREET NORTH,WS 1-S STRACHAN,HUC,61,21.07719,4,Cair (ng/m3),Benzo[a]pyrene,0.06322138,1,0.04757918,2022/07/20 16:13:48+00,2022/09/20 16:05:00+00,2022/07/20 04:00:00+00,2022/09/20 04:00:00+00,-79.86333778,43.26657611,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
594897.2935,4789895.3694,5,905,905A,LOTTRIDGE STREET,ES 1-S CASE,HUC,63,21.64328,4,Cair (ng/m3),Benzo[a]pyrene,1.88342122,1,0.04757918,2022/07/19 19:23:00+00,2022/09/20 16:37:00+00,2022/07/19 04:00:00+00,2022/09/20 04:00:00+00,-79.83087705,43.2558925,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
593638.8931,4789021.8991,6,906,906,GLADSTONE AVENUE,ES 4-N DELAWARE,HUC,63,21.64271,4,Cair (ng/m3),Benzo[a]pyrene,0.08390914,1,0.04757918,2022/07/19 07:47:00+00,2022/09/20 16:23:00+00,2022/07/19 04:00:00+00,2022/09/20 04:00:00+00,-79.84652572,43.24818615,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
600993.8047,4789150.2396,7,907,907,CENTENNIAL PARKWAY NORTH,WS 1-S VAN WAGNERS BEACH,CITY,62,21.68272,4,Cair (ng/m3),Benzo[a]pyrene,0.08160517,1,0.04757918,2022/07/19 16:21:00+00,2022/09/19 20:47:00+00,2022/07/19 04:00:00+00,2022/09/19 04:00:00+00,-79.7559222,43.24839222,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
598411.4036,4793128.1497,8,908,908Merge,LOCARNO AVENUE,NS 1-E BEACH,HUC,62,21.6903,4,Cair (ng/m3),Benzo[a]pyrene,0.18028386,1,0.04757918,2022/07/19 14:22:07+00,2022/09/19 21:15:00+00,2022/07/19 04:00:00+00,2022/09/19 04:00:00+00,-79.78701509,43.28454545,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
596885.1141,4789856.5589,9,909,909,GRENFELL STREET,SS 1-W MARTIMAS,HUC,62,21.61479,4,Cair (ng/m3),Benzo[a]pyrene,0.09344417,1,0.04757918,2022/07/19 19:00:00+00,2022/09/20 17:39:00+00,2022/07/19 04:00:00+00,2022/09/20 04:00:00+00,-79.80639933,43.25529021,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
596067.9835,4788669.2592,10,910,910,EDGEMONT STREET NORTH,ES 4-N DUNSMURE,HUC,63,21.64386,4,Cair (ng/m3),Benzo[a]pyrene,0.06180852,1,0.04757918,2022/07/19 06:34:00+00,2022/09/20 17:27:00+00,2022/07/19 04:00:00+00,2022/09/20 04:00:00+00,-79.81667104,43.24470581,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
599377.6743,4790113.2596,11,911,911,LEASIDE ROAD,SS 1-E TATE,HUC,63,21.63919,4,Cair (ng/m3),Benzo[a]pyrene,0.18867229,1,0.04757918,2022/07/19 15:10:23+00,2022/09/20 17:52:00+00,2022/07/19 04:00:00+00,2022/09/20 04:00:00+00,-79.77565209,43.25727669,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
575396.9802,4793451.8899,12,914,914,SODOM ROAD,SS 1-E WESTOVER,HYDRO1,62,21.31547,4,Cair (ng/m3),Benzo[a]pyrene,0,0,0.04757918,2022/07/18 15:36:57+00,2022/09/19 14:24:00+00,2022/07/18 04:00:00+00,2022/09/19 04:00:00+00,-80.07059632,43.29011651,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
572552.9094,4783325.8078,13,917,917,UNION STREET,SS 1-E SUNNY RIDGE,HYDRO1,62,20.49302,4,Cair (ng/m3),Benzo[a]pyrene,0,0,0.04757918,2022/07/18 16:03:57+00,2022/09/19 14:48:00+00,2022/07/18 04:00:00+00,2022/09/19 04:00:00+00,-80.10698319,43.19922472,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
589532.9826,4787141.1284,14,918,918,WEST 16TH STREET,WS 3-S SANATORIUM,HUC,62,21.31502,4,Cair (ng/m3),Benzo[a]pyrene,0.04116579,0,0.04757918,2022/07/18 18:15:43+00,2022/09/19 16:33:00+00,2022/07/18 04:00:00+00,2022/09/19 04:00:00+00,-79.89739967,43.23175227,,OpenHamilton,2024/08/30 19:51:07.547+00,OpenHamilton,2024/08/30 19:51:07.547+00
