OBJECTID,Property_Name,Address_1,City,Postal_Code,Property_GFA_M_Sq,Primary_Property_Type,Electricity_Use_Grid_Purchase_k,Natural_Gas_Use_GJ,Propane_Use_GJ,District_Hot_Water_Use_GJ,District_Chilled_Water_Use_GJ,Total_GHG_Emissions_Metric_Tons,Total_GHG_Emissions_Intensity_k,Direct_GHG_Emissions_Metric_Ton,Direct_GHG_Emissions_Intensity_,Indirect_GHG_Emissions_Metric_T,Indirect_GHG_Emissions_Intensit,Site_EUI_GJ_m_,Year_Ending
1176,Ontario Works Mountain Office,1550 UPPER JAMES STREET,Hamilton,L9B 2L6,1207.3,Office,252239.8,496.7,Not Available,Not Available,Not Available,32.3,26.7,25.0,20.7,7.3,6.1,1.16,2019/12/31 00:00:00+00
1177,Ontario Works Mountain Office,1550 UPPER JAMES STREET,Hamilton,L9B 2L6,1207.3,Office,226978.0,494.1,Not Available,Not Available,Not Available,31.2,25.8,24.8,20.6,6.4,5.3,1.09,2020/12/31 00:00:00+00
1178,Ontario Works Mountain Office,1550 UPPER JAMES STREET,Hamilton,L9B 2L6,1207.3,Office,207056.9,371.4,Not Available,Not Available,Not Available,24.5,20.3,18.7,15.5,5.8,4.8,0.93,2021/12/31 00:00:00+00
1179,Ontario Works Mountain Office,1550 UPPER JAMES STREET,Hamilton,L9B 2L6,1207.3,Office,176224.5,315.7,Not Available,Not Available,Not Available,20.8,17.2,15.9,13.1,4.9,4.1,0.79,2022/12/31 00:00:00+00
1180,Ontario Works Mountain Office,1550 UPPER JAMES STREET,Hamilton,L9B 2L6,1207.3,Office,162361.0,416.8,Not Available,Not Available,Not Available,25.5,21.1,21.0,17.4,4.5,3.8,0.83,2023/12/31 00:00:00+00
1181,Saltfleet Community Centre,605 8 Hwy,Stoney Creek,L8G 5G2,2693.4,Social/Meeting Hall,228574.6,Not Available,Not Available,Not Available,Not Available,6.6,2.5,0.0,0.0,6.6,2.5,0.31,2019/12/31 00:00:00+00
1182,Saltfleet Community Centre,605 8 Hwy,Stoney Creek,L8G 5G2,2693.4,Social/Meeting Hall,195024.0,Not Available,Not Available,Not Available,Not Available,5.5,2.0,0.0,0.0,5.5,2.0,0.26,2020/12/31 00:00:00+00
1183,Saltfleet Community Centre,605 8 Hwy,Stoney Creek,L8G 5G2,2693.4,Social/Meeting Hall,220581.0,Not Available,Not Available,Not Available,Not Available,6.2,2.3,0.0,0.0,6.2,2.3,0.29,2021/12/31 00:00:00+00
1184,Saltfleet Community Centre,605 8 Hwy,Stoney Creek,L8G 5G2,2693.4,Social/Meeting Hall,232005.6,Not Available,Not Available,Not Available,Not Available,6.5,2.4,0.0,0.0,6.5,2.4,0.31,2022/12/31 00:00:00+00
1185,Saltfleet Community Centre,605 8 Hwy,Stoney Creek,L8G 5G2,2693.4,Social/Meeting Hall,207084.9,Not Available,Not Available,Not Available,Not Available,5.8,2.2,0.0,0.0,5.8,2.2,0.28,2023/12/31 00:00:00+00
1186,Ancaster Aquatic Centre (P),47 MEADOWBROOK DRIVE,Ancaster,L9G 4S8,1771.4,Other - Recreation,489415.2,4240,Not Available,Not Available,Not Available,227.4,149.2,213.2,139.9,14.2,9.3,3.94,2019/12/31 00:00:00+00
