OBJECTID,FACILITY_NUMBER,FACILITY_TYPE,COMMUNITY,WARD,COFA_ECA,GLOBALID,Shape__Area,Shape__Length
1,81,Wet Pond,Hamilton,5,4366-4YQQVE,7f294766-db0d-46f9-a822-a3200b403f4b,2658.25390625,282.13502669795
2,65,Wet Pond,Stoney Creek,9,7255-7PYJQQ,909b9845-97f0-4b7e-bad9-c5e16c2b1160,5515.720703125,407.568893064654
3,69,Dry Pond,Stoney Creek,9,,7a5a1caa-89e4-4014-9de7-13fa6c06a1f6,56780.7309570312,1743.00871251943
4,93,Wet Pond,Glanbrook,11,0964-6LFMMD,49387ccc-55c2-4834-8db7-d42241361b77,3232.982421875,294.017086003892
5,110A,Wet Pond,Hamilton,5,1328-5SJHBR,a2cb0839-f4b7-4594-b7a9-6cd2d3c6b652,4756.6533203125,289.474947696045
6,110B,Wet Pond,Hamilton,5,1328-5SJHBR,d6c10fa7-679a-4c54-b70c-b560503f93b6,15696.5661621094,750.744495601815
7,21B,Wetland,Ancaster,14,3-1010-84-006,662a0479-c4c7-4372-a4f1-7e5bf42d3a8b,39690.3991699219,1106.60619684786
8,40,Wet Pond,Flamborough,15,5883-542KRA,d9c82ac3-a628-42cd-bde8-12d70595b4f5,926.5380859375,163.287535788803
9,45,Dry Pond,Flamborough,15,,2997e476-b51a-41e8-b3dc-ac6f796d0250,4064.72680664062,399.646910836335
10,42,Dry Pond,Flamborough,15,,4a19a7a3-3bad-4875-a1e7-6442c16c6b52,3514.4091796875,335.283510451211
11,89,Wet Pond,Ancaster,12,3277-6FLH8A,e137f0e1-64a5-4fcb-bdf2-36a90415cc76,5287.19921875,384.609150908452
12,64,Wet Pond,Stoney Creek,9,8304-4LXP4A,c74c609f-3f0f-4d35-afd3-1542af0db74f,34163.3935546875,950.276898324721
13,67,Wet Pond,Stoney Creek,9,5253-6EALRQ,bea3a703-ddca-4ec6-b74b-703f5e864673,11529.0632324219,449.253435565701
14,97,Wet Pond,Flamborough,15,6522-77LN44,9bbada28-b373-4bf1-81b9-6dac902d3207,15601.4680175781,641.002612292546
15,115,Wet Pond,Hamilton,4,1328-5SJHBR,6d1ffa86-cd7b-4e6b-aba0-3a59fd5b280b,5151.185546875,383.965131030995
16,106,Wet Pond,Stoney Creek,10,2740-7A2QPC,6a248b0b-b597-45b7-8224-1f2c9120a188,6657.90112304688,360.384579374798
17,103,Wetland,Stoney Creek,10,7490-5VURPL,257e436a-3cdc-49f8-acb6-8f9964b307e7,2297.08569335938,202.213993703391
18,105,Wet Pond,Stoney Creek,10,9540-6VLM2J,a21e9579-aadb-4b2d-a782-451d82ecb568,3605.01440429688,266.789666967025
19,104,Wet Pond,Stoney Creek,10,7353-6C5K38,325d9b06-4e1d-4b18-b578-8f686ce5c108,4698.43969726562,286.318496522617
20,82,Dry Pond,Stoney Creek,10,,1671d8b6-dd53-42e3-8923-98c99ce8dd5a,29424.7995605469,875.334203699711
21,113,Wet Pond,Hamilton,5,1328-5SJHBR,cb30233f-1f95-49e7-996a-6898c45feccb,4557.74731445312,319.888352555147
22,112,Wet Pond,Hamilton,5,1328-5SJHBR,25e90eac-5ab1-4e03-a6df-a360ab3d0f74,8549.98046875,506.984258838399
23,114,Wet Pond,Hamilton,5,1328-5SJHBR,6134bc06-1579-4f83-b7cb-f816b0543995,8852.43774414062,367.492324525694
24,111,Wet Pond,Hamilton,5,1328-5SJHBR,e44f5266-39e5-4986-9b2c-c0406fb4b1ff,36341.5754394531,845.46489034744
25,109,Wet Pond,Hamilton,4,1328-5SJHBR,8530a581-f843-4770-83a4-5afa7d7f2075,8390.8095703125,391.112549021097
26,108,Wet Pond,Hamilton,5,1328-5SJHBR,beb29cc1-0772-4acd-b0b4-690e9e3a76be,9424.64624023438,457.93726430163
27,31,Dry Pond,Flamborough,15,3-1299-92-937,ba614221-7dd3-479a-82b5-0471de2ca556,1928.16333007812,203.480525140673
28,36,Dry Pond,Flamborough,13,,410764b9-eb33-4f89-838d-65d7ba5cd876,14845.9682617188,775.884600866422
29,29,Dry Pond,Flamborough,13,,cd2b84ac-1a0a-4c67-a95f-e7c2fb787eac,3741.66430664062,430.127445711127
30,37,Dry Pond,Flamborough,13,3-1820-90-916,0c9e7f95-1f1c-403b-be26-831aa71cfc2e,7870.73291015625,668.786418354007
31,28,Wetland,Flamborough,13,,aa729a49-a2bf-4cc1-b7e7-9a135a82b489,9321.6904296875,388.322260555037
32,86,Wet Pond,Hamilton,6,7946-AA9NYD,eb7a5219-9479-4903-8a8c-6ddf721df980,4187.51245117188,270.618741852357
33,99,Wet Pond,Glanbrook,9,7814-6CXPBQ,81d4423e-2c4c-4c64-9fde-4125e79a2952,20690.1435546875,733.583943944897
34,78,Dry Pond,Glanbrook,11,3327-4T8JR7,58e9c970-8f26-4812-9dc4-b729340865a2,58683.5622558594,1460.52781544499
35,79,Wet Pond,Glanbrook,11,3327-4T8JR7,de3df6dd-57a5-4f83-ac04-d4f900490417,14207.0522460938,578.524257774244
36,74,Wet Pond,Glanbrook,11,5100-6QSNGV,f2b5818b-c3b0-409b-b8c2-3f8e143e9b71,4973.15795898438,336.711166634917
37,215,Natural Pond,Hamilton,8,,ea3ba9b2-960b-4b50-9aca-21eed388beb4,7814.89453125,388.990016791079
38,132,Natural Pond,Hamilton,8,,04a05ab6-cbb3-4e51-8c9c-1832b94f0618,3486.71533203125,254.515297147445
39,213,Natural Pond,Hamilton,8,,0f7e4068-4667-4f98-80fb-b44face88b53,2067.59204101562,218.626350275198
40,87,Wet Pond,Hamilton,5,4366-4YQQVE,37de2315-579c-49e7-9fc1-11e6d9a6c067,1662.71337890625,163.389939621086
41,33,Wet Pond,Flamborough,15,3-0716-91-006,c193415d-7f5e-4b20-95bf-208d6842c3f0,16171.7939453125,582.277604964315
42,117,Wet Pond,Hamilton,4,1328-5SJHBR,5a086e10-c8e1-48af-a811-69aee24ef2ac,6294.3994140625,425.214941060615
43,170,Dry Pond,Glanbrook,11,6531-9WEQGL,a2f5a68e-e046-4769-a4c5-a745864072be,3754.82641601562,249.121411533065
44,171,Dry Pond,Stoney Creek,10,6610-9EHMTE,2e246ac3-dd11-4ead-8ec5-da5de774a926,3413.14086914062,258.736367310131
45,116,Wet Pond,Stoney Creek,6,1328-5SJHBR,445f78c4-e1f1-4d39-93a2-850e83d0c93a,19331.3068847656,634.920946065558
46,245,Dry Pond,Ancaster,12,,0e0aa2d5-32c5-49ec-95ce-33c6d22d4394,540.433837890625,93.2682550540403
47,91,Wet Pond,Glanbrook,11,2251-6BMNQS,31872084-e652-4fba-a3c9-010e90dc3adc,10101.9025878906,476.51201882569
48,92,Wet Pond,Glanbrook,11,0964-6LFMMD,f2d2fd8c-6347-4c76-b607-8cd56cdc7d5c,10040.8898925781,550.612928321917
49,25,Dry Pond,Dundas,13,,4a686503-d552-44ed-bc77-7ed8d341e0d4,3161.56909179688,299.837817902731
