OBJECTID,UNITID,ASSOCIATEDNAME,SAMPLEDATE,DICHLOROBENZENE_1_2,TRANS_1_3_DICHLOROPROPYLENE,DICHLOROBENZENE_1_4,SILVER,ALUMINUM,ALGAE_AND_CYANOBACTERIA,ARSENIC,BORON,BARIUM,BERYLLIUM,BENZENE,BISMUTH,CALCIUM,CBIOCHEMICAL_OXYGEN_DEMAND,CADMIUM,CIS_1_2_DICHLOROETHYLENE,CHLOROFORM,CHLORIDE,COBALT,CONDUCTIVITY_FIELD,CHROMIUM,COPPER,DICHLOROMETHANE,DISSOLVED_OXYGEN,DISSOLVED_OXYGEN_FIELD,ESCHERICHIA_COLI,ETHYLBENZENE,FLUORIDE,IRON,HARDNESS,POTASSIUM,LITHIUM,MICROSCOPIC_ANALYSIS,MAGNESIUM,MANGANESE,MOLYBDENUM,M_PLUS_P_XYLENE,SODIUM,UNIONIZED_AMMONIA_AS_NH3_AT_FI,AMMONIA_PLUS_AMMONIUM_AS_N,NICKEL,NITRITE_AS_N,NITRATE_AS_N,NITRATE_PLUS_NITRITE_AS_N,O_PHOSPHATE_AS_P,O_XYLENE,PHOSPHORUS_TOTAL,PHOSPHORUS_DISSOLVED_TOTAL,LEAD,PH,PH_FIELD,ANTIMONY,SELENIUM,SILICON,TIN,STRONTIUM,TETRACHLOROETHANE_1_1_2_2,TEMPERATURE_FIELD,TRICHLOROETHYLENE,TITANIUM,TOTAL_KJELDAHL_NITROGEN_AS_N,THALLIUM,TOLUENE,TOTAL_SUSPENDED_SOLIDS,TETRACHLOROETHYLENE,URANIUM,VANADIUM,TUNGSTEN,XYLENE,CAFFEINE,ZINC,ZIRCONIUM,LONGITUDE,LATITUDE
1,LSC SW2,HAMILTON WEST SWQP,2023/06/06 05:00:00+00,,,,<0.0001 mg/L,0.118 mg/L,,0.0006 mg/L,0.239 mg/L,0.0604 mg/L,<0.0001 mg/L,,<0.0001 mg/L,70.7 mg/L,10 mg/L,<0.0001 mg/L,,,192 mg/L,0.0008 mg/L,1109 uS/cm,0.0004 mg/L,0.005 mg/L,,,11.25 mg/L,155 MPN/100mL,,,0.372 mg/L,262 mg/L,13.3 mg/L,0.011 mg/L,,20.7 mg/L,0.0844 mg/L,0.0021 mg/L,,128 mg/L,,0.14 mg/L,0.0039 mg/L,0.09 mg/L,17.1 mg/L,,<0.05 mg/L,,0.163 mg/L,,0.0011 mg/L,,8.11 pH,0.0002 mg/L,0.0004 mg/L,1.69 mg/L,0.0001 mg/L,0.708 mg/L,,20.5 C,,0.0035 mg/L,1.6 mg/L,<0.0003 mg/L,,13 mg/L,,0.075 ug/L,0.0014 mg/L,<0.0001 mg/L,,,0.024 mg/L,<0.0004 mg/L,-79.94253,43.26627
2,LSC SW2,HAMILTON WEST SWQP,2023/07/13 05:00:00+00,,,,<0.0001 mg/L,0.667 mg/L,,0.0008 mg/L,0.099 mg/L,0.0384 mg/L,<0.0001 mg/L,,<0.0001 mg/L,45.7 mg/L,3 mg/L,<0.0001 mg/L,,,128 mg/L,0.0005 mg/L,877 uS/cm,0.0016 mg/L,0.004 mg/L,,,5.7 mg/L,2420 MPN/100mL,,,0.92 mg/L,168 mg/L,5.31 mg/L,0.0076 mg/L,,13 mg/L,0.107 mg/L,0.0013 mg/L,,82.7 mg/L,,0.21 mg/L,0.0023 mg/L,<0.05 mg/L,6.71 mg/L,,<0.05 mg/L,,0.127 mg/L,,0.0054 mg/L,,7.45 pH,0.0003 mg/L,0.0003 mg/L,2.88 mg/L,0.0002 mg/L,0.513 mg/L,,21.1 C,,0.018 mg/L,0.8 mg/L,<0.0003 mg/L,,25.2 mg/L,,0.179 ug/L,0.0029 mg/L,0.0001 mg/L,,,0.028 mg/L,0.0009 mg/L,-79.94253,43.26627
3,LSC SW2,HAMILTON WEST SWQP,2023/08/16 05:00:00+00,,,,<0.0001 mg/L,0.098 mg/L,,0.0005 mg/L,0.142 mg/L,0.0388 mg/L,<0.0001 mg/L,,<0.0001 mg/L,52.5 mg/L,<3 mg/L,<0.0001 mg/L,,,138 mg/L,0.0005 mg/L,1017 uS/cm,0.0005 mg/L,0.0026 mg/L,,,5.21 mg/L,760 MPN/100mL,,,0.223 mg/L,194 mg/L,6.82 mg/L,0.0079 mg/L,,15.2 mg/L,0.0629 mg/L,0.0014 mg/L,,96.6 mg/L,,0.2 mg/L,0.0021 mg/L,<0.05 mg/L,8.7 mg/L,,0.05 mg/L,,0.086 mg/L,,0.0011 mg/L,,7.59 pH,0.0003 mg/L,0.0003 mg/L,2.39 mg/L,<0.0001 mg/L,0.569 mg/L,,21.3 C,,0.0023 mg/L,0.6 mg/L,<0.0003 mg/L,,5.4 mg/L,,0.251 ug/L,0.0014 mg/L,<0.0001 mg/L,,,0.011 mg/L,<0.0004 mg/L,-79.94253,43.26627
4,LSC SW2,HAMILTON WEST SWQP,2023/09/25 05:00:00+00,,,,<0.0001 mg/L,0.021 mg/L,,0.0005 mg/L,0.257 mg/L,0.0349 mg/L,<0.0001 mg/L,,<0.0001 mg/L,60.5 mg/L,<2 mg/L,<0.0001 mg/L,,,166 mg/L,0.0004 mg/L,1120 uS/cm,0.0001 mg/L,0.0044 mg/L,,,9.13 mg/L,60 MPN/100mL,,,0.16 mg/L,224 mg/L,11.6 mg/L,0.0089 mg/L,,17.8 mg/L,0.0769 mg/L,0.0017 mg/L,,111 mg/L,,0.06 mg/L,0.003 mg/L,0.06 mg/L,13.1 mg/L,,0.11 mg/L,,0.177 mg/L,,0.0003 mg/L,,7.81 pH,0.0003 mg/L,0.0002 mg/L,2.14 mg/L,<0.0001 mg/L,0.572 mg/L,,19 C,,0.0006 mg/L,0.9 mg/L,<0.0003 mg/L,,4.8 mg/L,,0.093 ug/L,0.0012 mg/L,<0.0001 mg/L,,,0.01 mg/L,<0.0004 mg/L,-79.94253,43.26627
5,LSC SW3,HAMILTON WEST SWQP,2021/07/13 05:00:00+00,,,,<0.0001 mg/L,0.017 mg/L,,0.0017 mg/L,0.032 mg/L,0.115 mg/L,<0.0001 mg/L,,<0.0001 mg/L,237 mg/L,<2 mg/L,<0.0001 mg/L,,,592 mg/L,<0.0001 mg/L,2639 uS/cm,<0.0001 mg/L,0.0005 mg/L,,,8.12 mg/L,107 MPN/100mL,,,0.223 mg/L,780 mg/L,2.69 mg/L,0.0317 mg/L,,45.6 mg/L,0.109 mg/L,0.0003 mg/L,,233 mg/L,,0.04 mg/L,0.0005 mg/L,<0.05 mg/L,0.45 mg/L,,<0.05 mg/L,,0.038 mg/L,,<0.0001 mg/L,,7.95 pH,<0.0001 mg/L,<0.0001 mg/L,8.07 mg/L,<0.0001 mg/L,0.527 mg/L,,17.2 C,,0.0016 mg/L,<0.2 mg/L,<0.0003 mg/L,,<2 mg/L,,0.875 ug/L,0.0002 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
6,LSC SW3,HAMILTON WEST SWQP,2022/03/17 05:00:00+00,,,,<0.0001 mg/L,0.014 mg/L,,0.0008 mg/L,0.028 mg/L,0.0954 mg/L,<0.0001 mg/L,,<0.0001 mg/L,232 mg/L,<2 mg/L,<0.0001 mg/L,,,566 mg/L,0.0001 mg/L,2450 uS/cm,<0.0001 mg/L,0.0003 mg/L,,,13.1 mg/L,8 MPN/100mL,,,0.186 mg/L,757 mg/L,2.33 mg/L,0.0299 mg/L,,43.1 mg/L,0.146 mg/L,0.0002 mg/L,,220 mg/L,,0.03 mg/L,0.0005 mg/L,<0.05 mg/L,0.53 mg/L,,<0.05 mg/L,,0.014 mg/L,,<0.0001 mg/L,,8.02 pH,<0.0001 mg/L,<0.0001 mg/L,8.00 mg/L,<0.0001 mg/L,0.489 mg/L,,4.4 C,,0.0006 mg/L,0.6 mg/L,<0.0003 mg/L,,2.2 mg/L,,1.01 ug/L,0.0001 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
7,LSC SW2,HAMILTON WEST SWQP,2023/05/16 05:00:00+00,,,,<0.0001 mg/L,0.065 mg/L,,0.0006 mg/L,0.187 mg/L,0.0563 mg/L,<0.0001 mg/L,,<0.0001 mg/L,81.8 mg/L,3 mg/L,<0.0001 mg/L,,,310 mg/L,0.0006 mg/L,1593 uS/cm,0.0002 mg/L,0.0027 mg/L,,,14.67 mg/L,9 MPN/100mL,,,0.426 mg/L,310 mg/L,9.38 mg/L,0.0119 mg/L,,25.8 mg/L,0.225 mg/L,0.0016 mg/L,,201 mg/L,,0.03 mg/L,0.003 mg/L,0.07 mg/L,11 mg/L,,<0.05 mg/L,,0.101 mg/L,,0.0008 mg/L,,8.03 pH,0.0002 mg/L,0.0005 mg/L,2.2 mg/L,<0.0001 mg/L,1.06 mg/L,,15.9 C,,0.0019 mg/L,0.7 mg/L,<0.0003 mg/L,,6 mg/L,,0.452 ug/L,0.0011 mg/L,<0.0001 mg/L,,,0.013 mg/L,<0.0004 mg/L,-79.94253,43.26627
8,LSC SW3,HAMILTON WEST SWQP,2022/06/24 05:00:00+00,<2 ug/L,<2 ug/L,<2 ug/L,<0.0001 mg/L,0.374 mg/L,,0.0026 mg/L,0.033 mg/L,0.135 mg/L,<0.0001 mg/L,<2 ug/L,<0.0001 mg/L,280 mg/L,<2 mg/L,<0.0001 mg/L,<2 ug/L,<2 ug/L,597 mg/L,0.0003 mg/L,Note uS/cm,0.0006 mg/L,0.0019 mg/L,<5 ug/L,,Note mg/L,1990 MPN/100mL,<2 ug/L,,1.22 mg/L,887 mg/L,2.83 mg/L,0.0317 mg/L,,45.6 mg/L,0.415 mg/L,0.0003 mg/L,<4 ug/L,234 mg/L,,0.05 mg/L,0.0011 mg/L,<0.05 mg/L,0.48 mg/L,,<0.05 mg/L,<2 ug/L,0.142 mg/L,,0.0011 mg/L,,Note pH,<0.0001 mg/L,<0.0001 mg/L,9.19 mg/L,<0.0001 mg/L,0.590 mg/L,<2 ug/L,Note C,<2 ug/L,0.0105 mg/L,0.7 mg/L,<0.0003 mg/L,<2 ug/L,145 mg/L,<2 ug/L,0.999 ug/L,0.0009 mg/L,<0.0001 mg/L,<5 ug/L,,0.006 mg/L,<0.0004 mg/L,-79.91011,43.26646
9,LSC SW3,HAMILTON WEST SWQP,2022/06/29 05:00:00+00,,,,<0.0001 mg/L,0.090 mg/L,,0.0017 mg/L,0.039 mg/L,0.101 mg/L,<0.0001 mg/L,,<0.0001 mg/L,202 mg/L,<2 mg/L,<0.0001 mg/L,,,581 mg/L,0.0001 mg/L,2516 uS/cm,0.0002 mg/L,0.0009 mg/L,,,6.8 mg/L,727 MPN/100mL,,,0.463 mg/L,688 mg/L,2.58 mg/L,0.0332 mg/L,,44.7 mg/L,0.156 mg/L,0.0002 mg/L,,229 mg/L,,0.06 mg/L,0.0006 mg/L,<0.05 mg/L,0.45 mg/L,,<0.05 mg/L,,0.054 mg/L,,0.0003 mg/L,,7.89 pH,<0.0001 mg/L,<0.0001 mg/L,8.04 mg/L,<0.0001 mg/L,0.499 mg/L,,14.6 C,,0.0019 mg/L,<0.2 mg/L,<0.0003 mg/L,,4.6 mg/L,,0.890 ug/L,0.0003 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
10,LSC SW3,HAMILTON WEST SWQP,2022/07/06 05:00:00+00,,,,<0.0001 mg/L,0.030 mg/L,,0.0017 mg/L,0.035 mg/L,0.110 mg/L,<0.0001 mg/L,,<0.0001 mg/L,247 mg/L,<2 mg/L,<0.0001 mg/L,,,569 mg/L,<0.0001 mg/L,2531 uS/cm,<0.0001 mg/L,0.0005 mg/L,,,6.3 mg/L,110 MPN/100mL,,,0.286 mg/L,799 mg/L,2.70 mg/L,0.0306 mg/L,,44.2 mg/L,0.142 mg/L,0.0002 mg/L,,238 mg/L,,0.04 mg/L,0.0005 mg/L,<0.05 mg/L,0.46 mg/L,,<0.05 mg/L,,0.039 mg/L,,0.0001 mg/L,,7.90 pH,<0.0001 mg/L,<0.0001 mg/L,9.23 mg/L,<0.0001 mg/L,0.556 mg/L,,16.8 C,,0.0014 mg/L,0.2 mg/L,<0.0003 mg/L,,7.3 mg/L,,0.917 ug/L,0.0002 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
11,LSC SW3,HAMILTON WEST SWQP,2022/08/10 05:00:00+00,,,,<0.0001 mg/L,0.017 mg/L,,0.0019 mg/L,0.034 mg/L,0.109 mg/L,<0.0001 mg/L,,<0.0001 mg/L,235 mg/L,<2 mg/L,<0.0001 mg/L,,,612 mg/L,<0.0001 mg/L,2580 uS/cm,<0.0001 mg/L,0.0004 mg/L,,,6.6 mg/L,30 MPN/100mL,,,0.212 mg/L,768 mg/L,2.75 mg/L,0.0316 mg/L,,43.9 mg/L,0.142 mg/L,0.0002 mg/L,,232 mg/L,,0.04 mg/L,0.0005 mg/L,<0.1 mg/L,0.43 mg/L,,<0.05 mg/L,,0.034 mg/L,,<0.0001 mg/L,,7.98 pH,<0.0001 mg/L,<0.0001 mg/L,9.20 mg/L,<0.0001 mg/L,0.511 mg/L,,16.2 C,,0.0010 mg/L,<0.2 mg/L,<0.0003 mg/L,,2.5 mg/L,,0.872 ug/L,0.0002 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
12,LSC SW3,HAMILTON WEST SWQP,2022/09/21 05:00:00+00,,,,<0.0001 mg/L,0.011 mg/L,,0.0015 mg/L,0.029 mg/L,0.107 mg/L,<0.0001 mg/L,,<0.0001 mg/L,216 mg/L,<2 mg/L,<0.0001 mg/L,,,618 mg/L,<0.0001 mg/L,2524 uS/cm,<0.0001 mg/L,0.0004 mg/L,,,5.8 mg/L,88 MPN/100mL,,,0.176 mg/L,724 mg/L,2.61 mg/L,0.0293 mg/L,,44.8 mg/L,0.119 mg/L,0.0002 mg/L,,232 mg/L,,0.03 mg/L,0.0004 mg/L,<0.05 mg/L,0.42 mg/L,,<0.05 mg/L,,0.028 mg/L,,<0.0001 mg/L,,7.95 pH,<0.0001 mg/L,<0.0001 mg/L,8.41 mg/L,<0.0001 mg/L,0.493 mg/L,,16.7 C,,0.0008 mg/L,<0.2 mg/L,<0.0003 mg/L,,<2 mg/L,,0.759 ug/L,0.0001 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
13,LSC SW3,HAMILTON WEST SWQP,2022/05/17 05:00:00+00,,,,<0.0001 mg/L,0.008 mg/L,,0.0012 mg/L,0.028 mg/L,0.103 mg/L,<0.0001 mg/L,,<0.0001 mg/L,228 mg/L,<2 mg/L,<0.0001 mg/L,,,<2 mg/L,<0.0001 mg/L,2424 uS/cm,<0.0001 mg/L,0.0004 mg/L,,,8.8 mg/L,172 MPN/100mL,,,0.202 mg/L,750 mg/L,2.55 mg/L,0.0277 mg/L,,43.8 mg/L,0.137 mg/L,0.0002 mg/L,,229 mg/L,,0.07 mg/L,0.0005 mg/L,<0.05 mg/L,0.46 mg/L,,<0.05 mg/L,,0.022 mg/L,,<0.0001 mg/L,,7.85 pH,<0.0001 mg/L,<0.0001 mg/L,8.16 mg/L,<0.0001 mg/L,0.534 mg/L,,11.4 C,,0.0008 mg/L,0.2 mg/L,<0.0003 mg/L,,3.1 mg/L,,0.909 ug/L,0.0001 mg/L,<0.0001 mg/L,,,<0.001 mg/L,<0.0004 mg/L,-79.91011,43.26646
14,CC SW9,CHEDOKE CREEK,2021/12/14 05:00:00+00,,,,<0.0001 mg/L,0.127 mg/L,,0.0008 mg/L,0.049 mg/L,0.0471 mg/L,<0.0001 mg/L,,<0.0001 mg/L,99.0 mg/L,<2 mg/L,0.0002 mg/L,,,158 mg/L,0.0001 mg/L,1113 uS/cm,0.0004 mg/L,0.0026 mg/L,,,11.1 mg/L,6800 MPN/100mL,,,0.160 mg/L,341 mg/L,3.38 mg/L,0.0080 mg/L,,22.7 mg/L,0.0121 mg/L,0.0016 mg/L,,87.2 mg/L,,0.22 mg/L,0.0013 mg/L,0.11 mg/L,3.26 mg/L,,0.31 mg/L,,0.360 mg/L,,0.0009 mg/L,,8.29 pH,<0.0001 mg/L,0.0006 mg/L,4.30 mg/L,<0.0001 mg/L,1.33 mg/L,,10.0 C,,0.0038 mg/L,0.5 mg/L,<0.0003 mg/L,,5.3 mg/L,,1.27 ug/L,0.0007 mg/L,<0.0001 mg/L,,,0.153 mg/L,<0.0004 mg/L,-79.92154,43.24585
15,CC SW9,CHEDOKE CREEK,2022/01/20 05:00:00+00,,,,<0.0001 mg/L,0.092 mg/L,,0.0008 mg/L,0.051 mg/L,0.0516 mg/L,<0.0001 mg/L,,<0.0001 mg/L,106 mg/L,<2 mg/L,0.0001 mg/L,,,400 mg/L,0.0001 mg/L,1924 uS/cm,0.0009 mg/L,0.0027 mg/L,,,14.1 mg/L,21000 MPN/100mL,,,0.146 mg/L,379 mg/L,3.94 mg/L,0.0122 mg/L,,27.8 mg/L,0.0199 mg/L,0.0022 mg/L,,234 mg/L,,0.58 mg/L,0.0012 mg/L,0.18 mg/L,3.85 mg/L,,0.38 mg/L,,0.403 mg/L,,0.0014 mg/L,,8.16 pH,<0.0001 mg/L,0.0004 mg/L,4.86 mg/L,<0.0001 mg/L,1.97 mg/L,,2.6 C,,0.0026 mg/L,0.9 mg/L,<0.0003 mg/L,,5.2 mg/L,,1.60 ug/L,0.0006 mg/L,<0.0001 mg/L,,,0.135 mg/L,<0.0004 mg/L,-79.92154,43.24585
